ec5	pdb	cathids	catalytic_cathids	unrelated?	number_unrelated_domains
5.1.1.1	3b8t	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1epv	3.20.20.10;2.40.37.10	3.20.20.10;2.40.37.10	y	2
5.1.1.1	3s46	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3oo2	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3hur	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4dyj	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3ha1	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4fs9	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1niu	3.20.20.10;2.40.37.10	3.20.20.10;2.40.37.10	y	2
5.1.1.1	2sfp	3.20.20.10;2.40.37.10	3.20.20.10;2.40.37.10	y	2
5.1.1.1	2rjg	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4beu	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1rcq	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3e5p	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4lut	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1ftx	3.20.20.10;2.40.37.10	3.20.20.10;2.40.37.10	y	2
5.1.1.1	2rjh	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1l6g	3.20.20.10;2.40.37.10	3.20.20.10;2.40.37.10	y	2
5.1.1.1	1l6f	3.20.20.10;2.40.37.10	3.20.20.10;2.40.37.10	y	2
5.1.1.1	2odo	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4bhy	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1bd0	3.20.20.10;2.40.37.10	3.20.20.10;2.40.37.10	y	2
5.1.1.1	1xfc	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3kw3	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4lus	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4beq	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3uw6	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3c3k	3.40.50.2300;3.40.50.2300	3.40.50.2300;3.40.50.2300	y	2
5.1.1.1	1sft	3.20.20.10;2.40.37.10	3.20.20.10;2.40.37.10	y	2
5.1.1.1	4bf5	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3e6e	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3b8w	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	3b8v	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
